id;station
0;Buswiller-Eglise
1;Gare de Mont-de-Marsan
2;Gare de Avignon-TGV
3;Gare de Redon
4;Gare de Altkirch
5;Gare de Brioude
6;Mauriac
7;Gare de Lure
8;Lyon-Saint-Paul-la-Feuilée
9;Gare de Menton
10;Gare de Commentry
11;Gare de Kruth
12;Gare de Colomiers
13;Gare de Roeschwoog
14;Saint-Sulpice-sur-Lèze
15;Gare de Pont-Saint-Vincent
16;Gare de Clermont-de-l'Oise
17;Vienne-Gare-Routière
18;Saint-George-d'Aurac-Bourg
19;Gare de Evreux
20;Gare de Wingen-sur-Moder
21;Sarrebourg-Abri-Phalsbo
22;Gare de Rumilly
23;Pompadour
24;Gare de Bas-Monistrol
25;Gare de Etang
26;Riom_Es_M_la_Poste.
27;Gare de Lyon-Saint-Paul
28;Gare de Lorient
29;Gare de Vitré
30;Gare de Verdun
31;Gare de Dijon-Porte-Neuve
32;Châteauroux Gare Rout.
33;Gare de Grasse
34;Ste-Croix/Mines-Sq-de-G
35;Gare de Souillac
36;Gare de Nort-sur-Erdre
37;Gare de Chinon
38;Gare de Châteauroux
39;Luneville-LP
40;Gare de Mulhouse-Gare-Centrale
41;Gare de Saint-Gilles-Croix-de-Vie
42;Gare de Paris Gare du Nord
43;Gare de Longuyon
44;Gare de Port-Boulet
45;Gare de Macau
46;Gare de Sérézin
47;Gare de Marseille-Saint-Charles
48;Gare de Castelsarrasin
49;Gare de Yvetot
50;Gare de Gien
51;Gare de Jeumont
52;Gare de Vienne
53;Lyon-Saint-Paul-Quai-Bondy
54;Gare de Ancenis
55;Gare de Haguenau
56;Gare de Saint-Emilion
57;Châteaubriant
58;Gare de Le Dorat
59;Gare de Pierrelatte
60;Lyon-Part-Dieu-Gare-Rou
61;Gare de Toul
62;Gare de Rosporden
63;Gare de Hazebrouck
64;Gare de Elbeuf-Saint-Aubin
65;Gare de Tarbes
66;Saint-Jean-de-Bassel-Eglis
67;Le-Mont-Dore-Gare
68;Aiton-Salle-Polyvalente
69;Gare de Antibes
70;Gare de Givors-Ville
71;Gare de Château-Renault
72;Gare de Tassin
73;Saint-Aignan-Lep
74;Gare de Nogent-sur-Seine
75;Normandie
76;Saint-Eloy
77;Gare de Alençon
78;Gare de Busigny
79;Damblain Eglise
80;Gare de Raedersheim
81;Gare de Saint-Pierre-le-Moûtier
82;Gare de Château-Thierry
83;Gare de Epinal
84;Gare de Saint-Amand-Montrond-Orval
85;Gare de Saint-Malo
86;Gare de Vannes
87;Vierzon-Médiathèque
88;Gare de Sisteron
89;Bruyères Chanzy Gare
90;Gare de Trouville-Deauville
91;Saverne-(Pl.-Dragons)
92;Saint-Martin-d'Hères
